	Movie ID	Genre	Name	Year	Director	Cast	imDB rating	label
202	332	Horror|Sci-Fi	Village of the Damned	1995	John Carpenter	Christopher Reeve, Kirstie Alley	5.6	0
204	338	Sci-Fi|Thriller	Virtuosity	1995	Brett Leonard	Denzel Washington, Kelly Lynch	5.5	0
209	349	Action|Adventure|Thriller	Clear and Present Danger	1994	Phillip Noyce	Harrison Ford, Willem Dafoe	6.9	0
216	359	Comedy|Drama|Romance	I Like It Like That	1994	Darnell Martin	Lauren Luna Vlez, Jon Seda	6.7	0
222	372	Comedy|Drama	Reality Bites	1994	Ben Stiller	Winona Ryder, Ethan Hawke	6.6	0
223	377	Action|Romance|Thriller	Speed	1994	Jan de Bont	Keanu Reeves, Dennis Hopper	7.2	0
229	383	Western	Wyatt Earp	1994	Lawrence Kasdan	Kevin Costner, Dennis Quaid	6.6	0
231	393	Action	Street Fighter	1994	Steven E. de Souza	Jean-Claude Van Damme, Raul Julia	3.8	0
232	394	Action	Coldblooded	1995	Wallace Wolodarsky	Jason Priestley, Kimberly Williams-Paisley	6.8	0
234	398	Documentary	Frank and Ollie	1995	Theodore Thomas	Frank Thomas, Ollie Johnston	8.1	0
235	401	Action|Thriller	Mirage	1995	Paul Williams	James Andronica, Cuauhtemoc Rivas	5.1	0
238	404	Documentary	Brother Minister: The Assassination of Malcolm X	1994	Jefri Aalmuhammed,Jack Baxter	Peter Bailey, Roscoe Lee Browne	7.2	0
245	422	Thriller	Blink	1994	Michael Apted	Madeleine Stowe, Aidan Quinn	6.2	0
246	421	Adventure|Children's	Black Beauty	1994	Caroline Thompson	Docs Keepin Time, Alan Cumming	6.6	0
248	423	Action|Thriller	Blown Away	1994	Stephen Hopkins	Jeff Bridges, Tommy Lee Jones	6.2	0
250	426	Horror|Sci-Fi|Thriller	Body Snatchers	1993	Abel Ferrara	Terry Kinney, Meg Tilly	5.9	0
254	427	Mystery|Romance|Thriller	Boxing Helena	1993	Jennifer Chambers Lynch	Julian Sands, Sherilyn Fenn	4.5	0
257	434	Action|Adventure|Crime	Cliffhanger	1993	Renny Harlin	Sylvester Stallone, John Lithgow	6.4	0
264	442	Action|Sci-Fi	Demolition Man	1993	Marco Brambilla	Sylvester Stallone, Wesley Snipes	6.6	0
270	450	Comedy|Drama	With Honors	1994	Alek Keshishian	Joe Pesci, Brendan Fraser	6.7	0
279	464	Action|Adventure|Crime|Thriller	Hard Target	1993	John Woo	Chuck Pfarrer, Robert Apisa	6.1	0
281	472	Comedy|Drama	I'll Do Anything	1994	James L. Brooks	Nick Nolte, Whittni Wright	5.6	0
283	474	Action|Thriller	In the Line of Fire	1993	Wolfgang Petersen	Clint Eastwood, John Malkovich	7.2	0
286	479	Action	Judgment Night	1993	Stephen Hopkins	Emilio Estevez, Cuba Gooding Jr.	6.6	0
287	480	Action|Adventure|Sci-Fi	Jurassic Park	1993	Steven Spielberg	Sam Neill, Laura Dern	8.1	0
294	496	Comedy|Drama|Romance	What Happened Was...	1994	Tom Noonan	Karen Sillas, Tom Noonan	7.1	0
295	494	Action|Thriller	Executive Decision	1996	Stuart Baird	Kurt Russell, Steven Seagal	6.4	0
306	516	Comedy|Drama|War	Renaissance Man	1994	Penny Marshall	Danny DeVito, Gregory Hines	6.1	0
309	521	Crime|Thriller	Romeo Is Bleeding	1993	Peter Medak	Gary Oldman, Wallace Wood	6.6	0
320	540	Thriller	Sliver	1993	Phillip Noyce	Sharon Stone, William Baldwin	4.9	0
323	541	Film-Noir|Sci-Fi	Blade Runner	1982	Ridley Scott	Harrison Ford, Rutger Hauer	8.2	0
324	544	Action	Striking Distance	1993	Rowdy Herrington	Bruce Willis, Sarah Jessica Parker	5.8	0
325	546	Action|Adventure|Children's|Sci-Fi	Super Mario Bros.	1993	Annabel Jankel,Rocky Morton	Bob Hoskins, John Leguizamo	4.0	0
327	547	Action|Adventure|Thriller	Surviving the Game	1994	Ernest R. Dickerson	Ice-T, Rutger Hauer	6.1	0
329	553	Western	Tombstone	1993	George P. Cosmatos,Kevin Jarre	Kurt Russell, Val Kilmer	7.8	0
330	548	Action	Terminal Velocity	1994	Deran Sarafian	Charlie Sheen, Nastassja Kinski	5.4	0
331	555	Action|Crime|Romance	True Romance	1993	Tony Scott	Christian Slater, Patricia Arquette	8.0	0
332	554	Thriller	Trial by Jury	1994	Heywood Gould	Joanne Whalley, Armand Assante	5.3	0
334	562	Comedy|Drama	Welcome to the Dollhouse	1995	Todd Solondz	Heather Matarazzo, Victoria Davis	7.5	0
336	561	Thriller	Killer	1994	Mark Malone	Anthony LaPaglia, Mimi Rogers	6.1	0
339	568	Comedy|Drama	Bhaji on the Beach	1993	Gurinder Chadha	Kim Vithana, Jimmi Harkishin	6.5	0
341	574	Comedy|Drama	Spanking the Monkey	1994	David O. Russell	Jeremy Davies, Elizabeth Newett	6.3	0
349	594	Animation|Children's|Musical	Snow White and the Seven Dwarfs	1937	William Cottrell,David Hand	Roy Atwell, Stuart Buchanan	7.7	0
350	596	Animation|Children's	Pinocchio	1940	Norman Ferguson,T. Hee	Mel Blanc, Don Brodie	7.5	0
354	606	Horror	Candyman: Farewell to the Flesh	1995	Bill Condon	Tony Todd, Kelly Rowan	5.2	0
355	611	Action|Horror|Sci-Fi	Hellraiser: Bloodline	1996	Kevin Yagher	Bruce Ramsay, Valentina Vargas	5.0	0
356	609	Adventure|Children's	Homeward Bound II: Lost in San Francisco	1996	David R. Ellis	Michael J. Fox, Sally Field	5.9	0
362	632	War	Land and Freedom	1995	Ken Loach	Ian Hart, Rosana Pastor	7.6	0
373	648	Action|Adventure|Mystery	Mission: Impossible	1996	Brian De Palma	Tom Cruise, Jon Voight	7.1	0
377	659	Crime|Thriller	Purple Noon	1960	Ren Clment	Alain Delon, Maurice Ronet	7.8	0
379	661	Animation|Children's|Musical	James and the Giant Peach	1996	Henry Selick	Simon Callow, Richard Dreyfuss	6.7	0
384	674	Adventure|Sci-Fi	Barbarella	1968	Roger Vadim	Jane Fonda, John Phillip Law	5.9	0
386	680	Sci-Fi	Alphaville	1965	Jean-Luc Godard	Eddie Constantine, Anna Karina	7.2	0
393	696	Thriller	Butterfly Kiss	1995	Michael Winterbottom	Amanda Plummer, Kathy Jamieson	6.4	0
399	707	Crime|Film-Noir|Thriller	Mulholland Falls	1996	Lee Tamahori	Nick Nolte, Melanie Griffith	6.2	0
401	1951	Musical	Oliver!	1968	Carol Reed	Ron Moody, Shani Wallis	7.5	0
403	711	Adventure|Children's	Flipper	1996	Alan Shapiro	Elijah Wood, Paul Hogan	5.2	0
406	714	Western	Dead Man	1995	Jim Jarmusch	Johnny Depp, Gary Farmer	7.7	0
407	716	Crime	Switchblade Sisters	1975	Jack Hill	Robbie Lee, Joanne Nail	6.7	0
412	731	Mystery|Thriller	Heaven's Prisoners	1996	Phil Joanou	Alec Baldwin, Kelly Lynch	5.7	0
413	732	Crime	Original Gangstas	1996	Larry Cohen,Fred Williamson	Fred Williamson, Jim Brown	5.7	0
414	736	Action|Adventure|Romance|Thriller	Twister	1996	Jan de Bont	Helen Hunt, Bill Paxton	6.3	0
415	737	Action|Sci-Fi	Barb Wire	1996	David Hogan	Amir Aboulela, Adriana Alexander	3.2	0
417	741	Animation|Sci-Fi	Ghost in the Shell	1995	Mamoru Oshii	Atsuko Tanaka, Akio tsuka	8.0	0
418	742	Horror|Thriller	Thinner	1996	Tom Holland	Robert John Burke, Lucinda Jenney	5.7	0
419	746	Film-Noir	Force of Evil	1948	Abraham Polonsky	John Garfield, Thomas Gomez	7.4	0
423	754	Adventure|Children's	Gold Diggers: The Secret of Bear Mountain	1995	Kevin James Dobson	Christina Ricci, Anna Chlumsky	6.0	0
425	759	Documentary	Maya Lin: A Strong Clear Vision	1994	Freida Lee Mock	Maya Lin	7.5	0
428	769	Documentary	Marlene Dietrich: Shadow and Light	1996	Chris Hunt	Marlene Dietrich, Maria Riva	7.2	0
431	775	Horror	Spirits of the Dead	1968	Federico Fellini,Louis Malle	Brigitte Bardot, Alain Delon	6.7	0
433	776	Comedy|Drama	Babyfever	1994	Victoria Foyt,Henry Jaglom	Victoria Foyt, Matt Salinger	5.5	0
434	777	War	Pharaoh's Army	1995	Robby Henson	Chris Cooper, Patricia Clarkson	7.0	0
436	780	Action|Sci-Fi|War	Independence Day	1996	Roland Emmerich	Will Smith, Bill Pullman	6.9	0
440	786	Action|Thriller	Eraser	1996	Chuck Russell	Arnold Schwarzenegger, James Caan	6.1	0
442	794	Comedy|Drama	Midnight Dancers	1994	Mel Chionglo	Alex Del Rosario, Gandong Cervantes	5.7	0
444	798	Action|Adventure|Thriller	Daylight	1996	Rob Cohen	Sylvester Stallone, Amy Brenneman	5.8	0
447	803	Romance	Walking and Talking	1996	Nicole Holofcener	Amy Braverman, Miranda Rhyne	6.8	0
449	808	Adventure|Children's	Alaska	1996	Fraser Clarke Heston	Thora Birch, Vincent Kartheiser	5.7	0
451	809	Action|Adventure	Fled	1996	Kevin Hooks	Laurence Fishburne, Stephen Baldwin	5.3	0
456	819	Comedy|Drama	Stefano Quantestorie	1993	Maurizio Nichetti	Maurizio Nichetti, Elena Sofia Ricci	6.7	0
466	836	Action|Adventure|Thriller	Chain Reaction	1996	Andrew Davis	Keanu Reeves, Morgan Freeman	5.6	0
470	849	Action|Adventure|Sci-Fi|Thriller	Escape from L.A.	1996	John Carpenter	Kurt Russell, Steve Buscemi	5.7	0
476	869	Crime	Kansas City	1996	Robert Altman	Jennifer Jason Leigh, Miranda Richardson	6.3	0
482	886	Action	Bulletproof	1996	Ernest R. Dickerson	Damon Wayans, Adam Sandler	5.8	0
485	890	Thriller	Baton Rouge	1988	Rafael Monlen	Victoria Abril, Carmen Maura	6.5	0
486	891	Horror|Thriller	Halloween: The Curse of Michael Myers	1995	Joe Chappelle	Donald Pleasence, Paul Rudd	4.9	0
490	894	Romance	Liebelei	1933	Max Ophls	Paul Hrbiger, Magda Schneider	7.7	0
491	899	Musical|Romance	Singin' in the Rain	1952	Stanley Donen,Gene Kelly	Gene Kelly, Donald O'Connor	8.3	0
492	897	Adventure|War	For Whom the Bell Tolls	1943	Sam Wood	Gary Cooper, Ingrid Bergman	7.0	0
494	904	Mystery|Thriller	Rear Window	1954	Alfred Hitchcock	James Stewart, Grace Kelly	8.5	0
495	903	Mystery|Thriller	Vertigo	1958	Alfred Hitchcock	James Stewart, Kim Novak	8.4	0
498	906	Mystery|Thriller	Gaslight	1944	George Cukor	Charles Boyer, Ingrid Bergman	7.9	0
503	914	Musical|Romance	My Fair Lady	1964	George Cukor	Audrey Hepburn, Rex Harrison	7.9	0
505	918	Musical	Meet Me in St. Louis	1944	Vincente Minnelli	Judy Garland, Margaret O'Brien	7.7	0
510	925	Adventure|Romance	Golden Earrings	1947	Mitchell Leisen	Ray Milland, Marlene Dietrich	6.7	0
511	929	Thriller	Foreign Correspondent	1940	Alfred Hitchcock	Joel McCrea, Laraine Day	7.6	0
512	931	Mystery|Romance|Thriller	Spellbound	1945	Alfred Hitchcock	Ingrid Bergman, Gregory Peck	7.6	0
513	930	Film-Noir|Romance|Thriller	Notorious	1946	Alfred Hitchcock	Cary Grant, Ingrid Bergman	8.1	0
517	938	Musical	Gigi	1958	Vincente Minnelli	Leslie Caron, Maurice Chevalier	6.9	0
518	942	Crime|Film-Noir|Mystery	Laura	1944	Otto Preminger	Gene Tierney, Dana Andrews	8.1	0
533	964	Western	Angel and the Badman	1947	James Edward Grant	John Wayne, Gail Russell	7.0	0
534	968	Horror|Sci-Fi	Night of the Living Dead	1968	George A. Romero	Duane Jones, Judith O'Dea	8.0	0
538	977	Mystery	Moonlight Murder	1936	Edwin L. Marin	Chester Morris, Madge Evans	5.9	0
541	983	Romance	Madagascar Skin	1995	Chris Newby	Bernard Hill, John Hannah	6.4	0
543	986	Adventure|Children's	Fly Away Home	1996	Carroll Ballard	Jeff Daniels, Anna Paquin	6.8	0
544	990	Action|Adventure|Thriller	Maximum Risk	1996	Ringo Lam	Jean-Claude Van Damme, Natasha Henstridge	5.4	0
545	988	Comedy|Drama	Grace of My Heart	1996	Allison Anders	Illeana Douglas, Sissy Boyd	6.7	0
547	998	Action|Crime	Set It Off	1996	F. Gary Gray	Jada Pinkett Smith, Queen Latifah	6.8	0
550	1000	Crime	Curdled	1996	Reb Braddock	William Baldwin, Angela Jones	5.9	0
553	1009	Adventure|Children's|Fantasy	Escape to Witch Mountain	1975	John Hough	Eddie Albert, Ray Milland	6.4	0
555	1014	Children's|Comedy|Drama	Pollyanna	1960	David Swift	Hayley Mills, Jane Wyman	7.3	0
556	1015	Adventure|Children's	Homeward Bound: The Incredible Journey	1993	Duwayne Dunham	Don Alder, Ed Bernard	6.9	0
557	1017	Adventure|Children's	Swiss Family Robinson	1960	Ken Annakin	John Mills, Dorothy McGuire	7.2	0
562	1023	Animation|Children's	Winnie the Pooh and the Blustery Day	1968	Wolfgang Reitherman	Sebastian Cabot, Sterling Holloway	8.0	0
564	1029	Animation|Children's|Musical	Dumbo	1941	Samuel Armstrong,Norman Ferguson	James Baskett, Herman Bing	7.3	0
565	1031	Adventure|Children's|Musical	Bedknobs and Broomsticks	1971	Robert Stevenson	Angela Lansbury, David Tomlinson	7.0	0
566	1034	Crime	Freeway	1996	Matthew Bright	Kiefer Sutherland, Reese Witherspoon	6.9	0
567	1039	Documentary	Synthetic Pleasures	1995	Iara Lee	Scott Bakatman, John Perry Barlow	6.6	0
570	1045	Comedy|Drama	Love Is All There Is	1996	Joseph Bologna,Rene Taylor	Lainie Kazan, Joseph Bologna	5.1	0
575	1055	Thriller	Shadow Conspiracy	1997	George P. Cosmatos	Charlie Sheen, Donald Sutherland	4.9	0
577	1060	Comedy|Drama	Swingers	1996	Doug Liman	Jon Favreau, Vince Vaughn	7.4	0
582	1068	Crime|Film-Noir	Crossfire	1947	Edward Dmytryk	Robert Young, Robert Mitchum	7.4	0
583	1070	Adventure	Macao	1952	Josef von Sternberg,Nicholas Ray	Robert Mitchum, Jane Russell	6.7	0
587	1086	Mystery|Thriller	Dial M for Murder	1954	Alfred Hitchcock	Ray Milland, Grace Kelly	8.2	0
588	1088	Musical|Romance	Dirty Dancing	1987	Emile Ardolino	Jennifer Grey, Patrick Swayze	6.9	0
589	1089	Crime|Thriller	Reservoir Dogs	1992	Quentin Tarantino	Harvey Keitel, Tim Roth	8.4	0
591	1092	Mystery|Thriller	Basic Instinct	1992	Paul Verhoeven	Michael Douglas, Sharon Stone	6.9	0
596	1100	Action|Romance	Days of Thunder	1990	Tony Scott	Tom Cruise, Nicole Kidman	5.9	0
597	1101	Action|Romance	Top Gun	1986	Tony Scott	Tom Cruise, Kelly McGillis	6.9	0
599	1102	Action	American Strays	1996	Michael Covert	Scott Plank, Melora Walters	5.4	0
601	1111	Documentary	Microcosmos	1996	Claude Nuridsany,Marie Prennou	Jacques Perrin, Kristin Scott Thomas	7.9	0
604	1129	Action|Adventure|Sci-Fi|Thriller	Escape from New York	1981	John Carpenter	Kurt Russell, Lee Van Cleef	7.2	0
607	1133	Comedy|Drama	Talking About Sex	1994	Aaron Speiser	Kim Wayans, Daniel Beer	6.1	0
609	1138	Documentary	Dadetown	1995	Russ Hexter	Jim Pryor, Stephen Beals	7.2	0
610	1137	Romance	Hustler White	1996	Rick Castro,Bruce La Bruce	Tony Ward, Bruce La Bruce	6.0	0
616	1147	Documentary	When We Were Kings	1996	Leon Gast	Muhammad Ali, George Foreman	8.0	0
617	1146	Comedy|Drama	Curtis's Charm	1995	John L'Ecuyer	Maurice Dean Wint, Callum Keith Rennie	5.2	0
618	1145	Documentary	Snowriders	1996	Kurt Miller,Peter Speek	Paul Miller, Warren Miller	7.7	0
619	1152	Crime|Film-Noir|Thriller	He Walked by Night	1948	Alfred L. Werker,Anthony Mann	Richard Basehart, Scott Brady	7.2	0
620	1153	Film-Noir	Raw Deal	1948	Anthony Mann	Dennis O'Keefe, Claire Trevor	7.4	0
621	1159	Romance	Love in Bloom	1935	Elliott Nugent	George Burns, Gracie Allen	6.1	0
624	1168	Horror	Bad Moon	1996	Eric Red	Mariel Hemingway, Michael Par	5.7	0
627	1172	Comedy|Drama|Romance	Cinema Paradiso	1988	Giuseppe Tornatore	Antonella Attili, Enzo Cannavale	8.5	0
636	1191	Documentary	Madonna: Truth or Dare	1991	Alek Keshishian	Madonna, Donna DeLory	6.1	0
637	1192	Documentary	Paris Is Burning	1990	Jennie Livingston	Andr Christian, Dorian Corey	8.1	0
641	1199	Sci-Fi	Brazil	1985	Terry Gilliam	Jonathan Pryce, Robert De Niro	8.0	0
642	1198	Action|Adventure	Raiders of the Lost Ark	1981	Steven Spielberg	Harrison Ford, Karen Allen	8.5	0
643	1200	Action|Sci-Fi|Thriller|War	Aliens	1986	James Cameron	Sigourney Weaver, Carrie Henn	8.4	0
644	1204	Adventure|War	Lawrence of Arabia	1962	David Lean	Peter O'Toole, Alec Guinness	8.4	0
645	1210	Action|Adventure|Romance|Sci-Fi|War	Star Wars: Episode VI - Return of the Jedi	1983	Richard Marquand	Mark Hamill, Harrison Ford	8.4	0
654	1232	Mystery|Sci-Fi	Stalker	1979	Andrei Tarkovsky	Alisa Freyndlikh, Aleksandr Kaydanovskiy	8.2	0
659	1248	Crime|Film-Noir|Thriller	Touch of Evil	1958	Orson Welles	Charlton Heston, Janet Leigh	8.1	0
662	1259	Adventure|Comedy|Drama	Stand by Me	1986	Rob Reiner	Wil Wheaton, River Phoenix	8.1	0
665	1266	Western	Unforgiven	1992	Clint Eastwood	Clint Eastwood, Gene Hackman	8.3	0
672	1273	Comedy|Drama	Down by Law	1986	Jim Jarmusch	Tom Waits, John Lurie	7.8	0
673	1275	Action|Adventure	Highlander	1986	Russell Mulcahy	Christopher Lambert, Roxanne Hart	7.2	0
674	1276	Comedy|Drama	Cool Hand Luke	1967	Stuart Rosenberg	Paul Newman, George Kennedy	8.2	0
676	1274	Adventure|Animation|Sci-Fi|Thriller	Akira	1988	Katsuhiro tomo	Mitsuo Iwata, Nozomu Sasaki	8.1	0
678	1279	Comedy|Drama	Night on Earth	1991	Jim Jarmusch	Gena Rowlands, Winona Ryder	7.8	0
680	1283	Western	High Noon	1952	Fred Zinnemann	Gary Cooper, Thomas Mitchell	8.1	0
681	1282	Animation|Children's|Musical	Fantasia	1940	Norman Ferguson,James Algar	Leopold Stokowski, Deems Taylor	7.8	0
684	1288	Comedy|Drama|Musical	This Is Spinal Tap	1984	Rob Reiner	Rob Reiner, Kimberly Stringer	8.0	0
686	1291	Action|Adventure	Indiana Jones and the Last Crusade	1989	Steven Spielberg	Harrison Ford, Sean Connery	8.3	0
690	1301	Sci-Fi	Forbidden Planet	1956	Fred M. Wilcox	Walter Pidgeon, Anne Francis	7.7	0
700	1313	Crime	Mad Dog Time	1996	Larry Bishop	Ellen Barkin, Gabriel Byrne	5.5	0
701	1318	Comedy|Drama	Blue Juice	1995	Carl Prechezer	Sean Pertwee, Catherine Zeta-Jones	5.3	0
703	1325	Horror	Amityville: A New Generation	1993	John Murlowski	Ross Partridge, Julia Nickson	3.6	0
704	1326	Horror	Amityville II: The Possession	1982	Damiano Damiani	James Olson, Burt Young	5.4	0
706	1331	Horror	Audrey Rose	1977	Robert Wise	Marsha Mason, Anthony Hopkins	5.9	0
707	1336	Horror	Body Parts	1991	Eric Red	Jeff Fahey, Lindsay Duncan	5.5	0
708	1342	Horror	Candyman	1992	Bernard Rose	Virginia Madsen, Tony Todd	6.5	0
709	1343	Thriller	Cape Fear	1991	Martin Scorsese	Robert De Niro, Nick Nolte	7.3	0
710	1340	Horror	Bride of Frankenstein	1935	James Whale	Boris Karloff, Colin Clive	7.9	0
711	1341	Horror	Burnt Offerings	1976	Dan Curtis	Karen Black, Oliver Reed	6.5	0
712	1344	Film-Noir|Thriller	Cape Fear	1962	J. Lee Thompson	Gregory Peck, Robert Mitchum	7.8	0
713	1345	Horror	Carrie	1976	Brian De Palma	Sissy Spacek, Piper Laurie	7.4	0
714	1346	Horror	Cat People	1982	Paul Schrader	Nastassja Kinski, Malcolm McDowell	6.1	0
716	1356	Action|Adventure|Sci-Fi	Star Trek: First Contact	1996	Jonathan Frakes	Patrick Stewart, Jonathan Frakes	7.6	0
717	1352	Crime|Thriller	Albino Alligator	1996	Kevin Spacey	Matt Dillon, Faye Dunaway	6.1	0
718	1355	Horror|Thriller	Nightwatch	1997	Ole Bornedal	Ewan McGregor, Patricia Arquette	6.2	0
721	1361	Documentary	Paradise Lost: The Child Murders at Robin Hood Hills	1996	Joe Berlinger,Bruce Sinofsky	Tony Brooks, Diana Davis	8.4	0
724	1371	Action|Adventure|Sci-Fi	Star Trek: The Motion Picture	1979	Robert Wise	William Shatner, Leonard Nimoy	6.4	0
