director,cast,year,movie_name,rating
Charles Herman-Wurmfeld,"Boa,Justin Bond,Jon Bush,Robert Coffman,Deena Davenport,Charles Herman-Wurmfeld,Jessica Patton,Daniel Pikus,Thanna Vickerman,Alyssa Wendt,Rebecca Wink",1995,Fanci's Persuasion,5.5
Mike Figgis,"Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Regen,Valeria Golino,Graham Beckel,Albert Henderson,Shashi Bhatia,Carey Lowell,Anne Lange,Thomas Kopache",1995,Leaving Las Vegas,7.6
"Marc Caro,Jean-Pierre Jeunet","Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,Jean-Claude Dreyfus,Genevive Brunet,Odile Mallet,Mireille Moss,Serge Merlin,Rufus,Ticky Holgado,Joseph Lucien,Mapi Galn,Briac Barthlmy,Pierre-Quentin Faesch",1995,The City of Lost Children,7.7
John N. Smith,"Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,Beatrice Winde,John Neville,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris,Marcello Thedford,Roberto Alvarez,Richard Grant,Marisela Gonzales,Toni Nichelle Buzhardt",1995,Dangerous Minds,6.4
Terry Gilliam,"Joseph Melito,Bruce Willis,Jon Seda,Michael Chance,Vernon Campbell,H. Michael Walls,Bob Adrian,Simon Jones,Carol Florence,Bill Raymond,Ernest Abuba,Irma St. Paule,Madeleine Stowe,Joey Perillo,Bruce Kirkpatrick",1995,Twelve Monkeys,8.1
Jean-Jacques Annaud,"Craig Sheffer,Tom Hulce,Elizabeth McGovern,Val Kilmer,Ken Pogue,Ron Sauv,Freddy Andreiuci",1995,Wings of Courage,6.6
Chris Noonan,"Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,Russi Taylor,Evelyn Krape,Michael Edward-Stevens,Charles Bartlett,Paul Livingston,Roscoe Lee Browne,James Cromwell,Magda Szubanski,Zoe Burton,Paul Goddard",1995,Babe,6.8
Tim Robbins,"Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Celia Weston,Lois Smith,Scott Wilson,Roberta Maxwell,Margo Martindale,Barton Heyman,Steve Boles,Nesbitt Blaisdell,Ray Aranha,Larry Pine",1995,Dead Man Walking,7.6
Andy Tennant,"Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen,Ashley Olsen,Philip Bosco,Jane Sibbett,Michelle Grisom,Desmond Robertson,Tiny Mills,Shanelle Henry,Anthony Aiello,LaTonya Borsay,Michle Lonsdale Smith,Sean Orr,Elizabeth Walsh",1995,It Takes Two,5.7
Christopher Hampton,"Emma Thompson,Jonathan Pryce,Steven Waddington,Samuel West,Rufus Sewell,Penelope Wilton,Janet McTeer,Peter Blythe,Jeremy Northam,Alex Kingston,Sebastian Harcombe,Richard Clifford,David Ryall,Stephen Boxer,Annabel Mullion",1995,Carrington,6.9
Richard Loncraine,"Ian McKellen,Annette Bening,Jim Broadbent,Robert Downey Jr.,Nigel Hawthorne,Kristin Scott Thomas,John Wood,Maggie Smith,Jim Carter,Edward Hardwicke,Adrian Dunbar,Tres Hanley,Dominic West,Roger Hammond,Tim McInnerny",1995,Richard III,7.5
Amy Heckerling,"Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Elisa Donovan,Breckin Meyer,Jeremy Sisto,Dan Hedaya,Wallace Shawn,Twink Caplan,Justin Walker,Sabastian Rashidi,Herb Hall,Julie Brown",1995,Clueless,6.8
Stephen Low,"Peter Reznick,John McDonough,Avi Hoffman,Victor Steinbach,Peter Boyden,Philip Levy,Nick Muglia,Abby Lewis,Matt Malloy,Luigi Petrozza,Bernard Ferstenberg,Robert Buckley,Donald Trump,Patrick Flynn,George G. Colucci",1995,Across the Sea of Time,6.6
Darrell Roodt,"James Earl Jones,Richard Harris,Vusi Kunene,Charles S. Dutton,Tsholofelo Wechoemang,Dolly Rathebe,Ramalao Makhene,Jack Robinson,Jennifer Steyn,Patrick Ndlovu,Darlington Michaels,King Twala,Somizi Mhlongo,Sam Ngakane,John Whiteley",1995,"Cry, the Beloved Country",6.9
"Albert Hughes,Allen Hughes","Larenz Tate,Keith David,Chris Tucker,Freddy Rodrguez,Rose Jackson,N'Bushe Wright,Alvaleta Guess,James Pickens Jr.,Jenifer Lewis,Clifton Powell,Elizabeth Rodriguez,Terrence Howard,Ryan Williams,Larry McCoy,Rodney Winfield",1995,Dead Presidents,6.8
Jocelyn Moorhouse,"Kaelynn Craddick,Sara Craddick,Kate Capshaw,Adam Baldwin,Winona Ryder,Dermot Mulroney,Ellen Burstyn,Anne Bancroft,Maya Angelou,Alfre Woodard,Lois Smith,Jean Simmons,Kate Nelligan,Denis Arndt,Rip Torn",1995,How to Make an American Quilt,6.2
Bryan Singer,"Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey,Chazz Palminteri,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya,Paul Bartel,Carl Bressler,Phillipe Simon,Jack Shearer,Christine Estabrook",1995,The Usual Suspects,8.6
Michael Hoffman,"Robert Downey Jr.,Sam Neill,David Thewlis,Polly Walker,Meg Ryan,Ian McKellen,Hugh Grant,Ian McDiarmid,Mary MacLeod,Mark Letheren,Sandy McDade,Rosalind Bennett,Willie Ross,David Gant,Benjamin Whitrow",1995,Restoration,6.7
Paul W.S. Anderson,"Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Talisa Soto,Trevor Goddard,Chris Casamassa,Franois Petit,Keith Cooke,Hakim Alston,Kenneth Edwards,John Fujioka,Daniel Haggard,Sandy Helberg",1995,Mortal Kombat,5.8
David Fincher,"Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey,George Christy,Endre Hules,Hawthorne James,William Davidson,Bob Collins",1995,Se7en,8.6
Woody Allen,"Pamela Blair,Rene Ceballos,Elie Chaib,George De La Pena,Joanne DiMauro,Denise Faye,Marian Filali,Angelo Fraboni,Scott Fowler,Seth Gertsacov,Patti Karr,Fred Mann III,John Mineo,Christopher Nelson,Valda Setterfield",1995,Mighty Aphrodite,7.1
Patricia Rozema,"Pascale Bussires,Rachael Crawford,Henry Czerny,David Fox,Don McKellar,Tracy Wright,Clare Coulter,Karyne Steben,Sarah Steben,Jonathan Potts,Tom Melissis,Stuart Clow,Richard W. Farrell,Fides Krucker,Thom Sokoloski",1995,When Night Is Falling,6.8
Vahik Pirhamzei,"Vahik Pirhamzei,Bokeem Woodbine,Justine Wachsberger,Colin Cunningham,Ray Wise,Costas Mandylor,Christopher Atkins,Anne Bedian,Houshang Touzie,Lindsey McKeon,Catherine Lidstone,Brandon Stacy,Christopher Knight,Anahid Avanesian,Anthony Azizi",2014,Guardian Angel,7.5
Robert Tinnell,"Johnny Morina,Maggie Castle,Christopher Olscamp,Justin Borntraeger,Billy Coyle,Jeoffrey Graves,Malcolm McDowell,Peter Aykroyd,Mlany Goudreau,James Rae,Jamieson Boulanger,Roc LaFortune,Michael Ironside,Ren Simard,Melissa Altro",1995,Kids of the Round Table,5.1
Holly Goldberg Sloan,"Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,John Terry,Chauncey Leopardi,Patrick Renna,Billy L. Sullivan,Yareli Arizmendi,Bug Hall,Jessica Robertson,Anthony Esquivel,Jordan Brower,Hayley Kolb,Haley Miller,Ashley Welch",1995,The Big Green,5.4
Michael Radford,"Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Renato Scarpa,Linda Moretti,Sergio Solli,Carlo Di Maio,Nando Neri,Vincenzo Di Sauro,Orazio Stracuzzi,Alfredo Cozzolino,Mariano Rigillo,Anna Bonaiuto",1994,Il Postino: The Postman,7.8
Jodie Foster,"Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Dylan McDermott,Geraldine Chaplin,Steve Guttenberg,Cynthia Stevenson,Claire Danes,Emily Ann Lloyd,Zack Duhame,Austin Pendleton,David Strathairn,Amy Yasbeck,James Lecesne",1995,Home for the Holidays,6.6
Stephen Herek,"Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Terrence Howard,Damon Whitaker,Jean Louisa Kelly,Alexandra Boyd,Nicholas John Renner,Joseph Anderson,Anthony Natale,Joanna Gleason,Beth Maitland",1995,Mr. Holland's Opus,7.3
Robert Lepage,"Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Kristin Scott Thomas,Ron Burrage,Richard Frchette,Franois Papineau,Marie Gignac,Normand Daneau,Anne-Marie Cadieux,Suzanne Clment,Lynda Beaulieu,Pascal Rollin,Billy Merasty,Paul Hbert",1995,The Confessional,7.6
Frank Oz,"Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins,Rishi Bhat,Steve Coogan,David Keith,Sakina Jaffrey,Vincent Kartheiser,Nestor Serrano,Ryan Olson,Leon Tejwani,Lucas Tejwani,Christopher Conte,Cassandra Brown",1995,The Indian in the Cupboard,5.9
Paris Barclay,"Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Chris Spencer,Suli McCullough,Darrel Heath,Helen Martin,Isaiah Barnes,Lahmard J. Tate,Keenen Ivory Wayans,Keith Morris,Craig Wayans,Casey Lee,Joe Scott,Kim Wayans",1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.6
Bill Bennett,"Denis Leary,Sandra Bullock,Stephen Dillane,Yaphet Kotto,Mike Starr,Jonathan Tucker,Wayne Robson,Michael Badalucco,Lenny Clarke,Jonny Fido,Don Gavin,Shaun R. Clarke,Markus Parilo,John Friesen,Sean Runnette",1996,Two If by Sea,5.2
James Foley,"Jerry Barone,Mary Elizabeth Mastrantonio,Al Pacino,Patrick Borriello,Andy Romano,Donna Mitchell,Mary Lou Rosato,Joe Grifasi,Rosemary De Angelis,Ron McLarty,Charley Scalies,Joanna Merlin,Geoff Pierson,Karen Shallo,Nick Discenza",1995,Two Bits,6.3
Jason Bloom,"William Atherton,Denise Dowse,Dara Tomanovich,Kevin West,Kylie Minogue,Pauly Shore,Stephen Baldwin,Joey Lauren Adams,Teresa Hill,Patricia Hearst,Robbie Thibaut Jr.,Adam Weisman,Henry Gibson,Brian Hayes Currie,Courtney Mizel",1996,Bio-Dome,4.4
Farhad Mann,"Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget,Camille Cooper,Patrick LaBrecque,Crystal Celeste Grant,Sean P. Young,Mathew Valencia,Kevin Conway,Trever O'Brien,Richard Fancy,Ellis Williams,Castulo Guerra,Molly Shannon",1996,Lawnmower Man 2: Beyond Cyberspace,2.4
Josiane Balasko,"Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado,Catherine Hiegel,Catherine Samie,Catherine Lachens,Katrine Boorman,Telsche Boorman,Vronique Barrault,Sylvie Audcoeur,Michle Bernier,Maureen Diot,Miguel Bos,Jean-Luc Violet",1995,French Twist,6.4
Robert Rodriguez,"George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Salma Hayek,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson,Michael Parks,Brenda Hillhouse,John Saxon,Marc Lawrence,Kelly Preston",1996,From Dusk Till Dawn,7.3
Andrew Sipes,"William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,Miguel Sandoval,Johann Carlo,Salma Hayek,John Bedford Lloyd,Olek Krupa,Jenette Goldstein,Marc Macaulay,Sonny Carl Davis,Frank Medrano,Don Yesso,Paul Dillon",1995,Fair Game,4.1
Noah Baumbach,"Josh Hamilton,Samuel Gould,Catherine Kellner,Jonathan Baumbach,John Lehr,Olivia d'Abo,Peter Czernin,Carlos Jacott,Chris Eigeman,Eric Stoltz,Eliza Roberts,Jason Wiles,Parker Posey,Christopher Reed,Noah Baumbach",1995,Kicking and Screaming,7.1
Michael Goldenberg,"Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin,Brian Tarantina,Debra Monk,Mary Alice,Kenneth Cranham,Ally Walker,Anne Pitoniak,Michael Haley,Cass Morgan,Gina Torres,Nick Tate,Vctor Sierra",1996,Bed of Roses,6
Christian Duguay,"Peter Weller,Roy Dupuis,Jennifer Rubin,Andrew Lauer,Charles Edwin Powell,Ron White,Michael Caloz,Liliana Komorowska,Jason Cavalier,Leni Parker,Sylvain Mass,Bruce Boa,Tom Berry,Henry Ramer",1995,Screamers,6.4
Brian Gibson,"Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,Anne Heche,James Gandolfini,Lindsay Crouse,Tony Lo Bianco,Michael Constantine,Matt Craven,Todd Susman,Michael Rispoli,Julie Halston,Frank Adonis,Matthew Cowles,Polly Adams",1996,The Juror,5.6
Sean Penn,"Jack Nicholson,David Morse,Anjelica Huston,Robin Wright,Piper Laurie,Richard Bradford,Priscilla Barnes,David Baerwald,Robbie Robertson,John Savage,Kari Wuhrer,Jennifer Leigh Warren,Kellita Smith,Richard C. Sarafian,Bobby Cooper",1995,The Crossing Guard,6.4
Steve Miner,"Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor,Curtis Armstrong,Faith Prince,Tony Pierce,Don Knotts,Blake Bashoff,Cody McMains,Harry Waters Jr.,Stuart Pankin,Justin Jon Ross,Michael Zwiener",1996,Big Bully,4.5
Susanne Ofteringer,"Nico,Tina Aumont,Christian Pffgen,Edith Boulogne,Jackson Browne,John Cale,Danny Fields,Carlos De Maldonado-Bostock,Jonas Mekas,Paul Morrissey,Sterling Morrison,Billy Name,Nikos Papatakis,Lutz Ulbrich,Viva",1995,Nico Icon,7.3
Gary Fleder,"Andy Garcia,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,Jack Warden,Steve Buscemi,Fairuza Balk,Gabrielle Anwar,Christopher Walken,Michael Nicolosi,Bill Cobbs,Marshall Bell,Glenn Plummer,Don Stark",1995,Things to Do in Denver When You're Dead,6.8
Jafar Panahi,"Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Anna Borkowska,Mohammad Shahani,Mohammed Bakhtiar,Aliasghar Smadi,Hamidreza Tahery,Asghar Barzegar,Hasan Neamatolahi,Bosnali Bahary,Mohammadreza Baryar,Shaker Hayely,Homayoon Rokani,Mohammad Farakani",1995,The White Balloon,7.8
Tim Reid,"Al Freeman Jr.,Phylicia Rashad,Leon,Paula Kelly,Salli Richardson-Whitfield,Anna Maria Horsford,Bernie Casey,Isaac Hayes,Ray J,Karen Malina White,Damon Hines,Iona Morris,Phill Lewis,Taj Mahal,Polly Bergen",1995,Once Upon a Time... When We Were Colored,7.2
Marleen Gorris,"Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,Veerle van Overloop,Esther Vriesendorp,Carolien Spoor,Thyrza Ravesteijn,Mil Seghers,Jan Decleir,Elsie de Brauw,Reinout Bussemaker,Marina de Graaf,Jan Steen,Catherine ten Bruggencate,Paul Kooij",1995,Antonia's Line,7.5
Henry Jaglom,"Victoria Foyt,Viveca Lindfors,Jon Robin Baitz,Savannah Smith Boucher,Roscoe Lee Browne,Andre Gregory,Nick Gregory,Melissa Leo,Roddy McDowall,Martha Plimpton,Ron Rifkin,Diane Salinger,Brooke Smith,Kristoffer Tabori,Holland Taylor",1995,Last Summer in the Hamptons,6.1
Ridley Scott,"Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf,Jeremy Sisto,Ryan Phillippe,David Lascher,Eric Michael Cole,Jason Marsden,David Selby,Julio Oscar Mechoso,Zeljko Ivanek,Balthazar Getty,Ethan Embry,Jordan Clarke",1996,White Squall,6.6
Philip Haas,"Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp,Douglas Henshall,Annette Badland,Chris Larkin,Anna Massey,Saskia Wickham,Lindsay Thomas,Michelle Sylvester,Clare Lovell,Jenny Lovell,Oona Haas,Angus Hodder",1995,Angels and Insects,7
Ken Kwapis,"Jason Alexander,Faye Dunaway,Eric Lloyd,Rupert Everett,Graham Sack,Paul Reubens,Glenn Shadix,Nathan Davis,Jennifer Bassey,Judith Scott,Bruce Beatty,Danny Comden,Steven Gilborn,Lois De Banzie,Natalie Core",1996,Dunston Checks In,5.2
Penelope Spheeris,"Chris Farley,David Spade,Tim Matheson,Christine Ebersole,Gary Busey,Grant Heslov,Timothy Carhart,Bruce McGill,Michael Patrick Carter,Boyd Banks,David St. James,Skip O'Brien,Branden R. Morgan,'Gypsy' Spheeris,John Ashker",1996,Black Sheep,6.2
John Badham,"Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia,Marsha Mason,Peter Strauss,Gloria Reuben,Bill Smitrovich,G.D. Spradlin,Yul Vazquez,Edith Diaz,Armando Ortega,C.J. Bau,Cynthena Sanders",1995,Nick of Time,6.3
Stephen Frears,"Julia Roberts,John Malkovich,George Cole,Michael Gambon,Kathy Staff,Glenn Close,Michael Sheen,Bronagh Gallagher,Linda Bassett,Henry Goodman,Ciarn Hinds,Sasha Hanau,Moya Brady,Emma Griffiths Malin,David Ross",1996,Mary Reilly,5.8
Wes Craven,"Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon,Zakes Mokae,Joanna Cassidy,Simbi Khali,Messiri Freeman,Kelly Cinnante,Jsu Garcia,W. Earl Brown,Ayo Adeyemi,Troy Curvey Jr.,Vickilyn Reynolds",1995,Vampire in Brooklyn,4.5
John Duigan,"Jason Patric,Thandie Newton,Larry Drake,Sam Waterston,Sarah-Jane Wylde,Eric Mabius,Muse Watson,John Doman,Andy Stahl,Danny Nelson,Collin Wilcox Paxton,Dean Rader-Duval,Billy Ray Reynolds,Marlus Harding,Lisa Roberts Gillian",1995,The Journey of August King,6.6
John Woo,"John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,Bob Gunton,Frank Whaley,Howie Long,Vondie Curtis-Hall,Jack Thompson,Vyto Ruginis,Ousaun Elam,Shaun Toub,Casey Biggs,Jeffrey Stephan,Joey Box",1996,Broken Arrow,6
Ted Demme,"Matt Dillon,Noah Emmerich,Annabeth Gish,Lauren Holly,Timothy Hutton,Rosie O'Donnell,Max Perlich,Martha Plimpton,Natalie Portman,Michael Rapaport,Mira Sorvino,Uma Thurman,Pruitt Taylor Vince,Anne Bobby,Richard Bright",1996,Beautiful Girls,7.2
Gerry Mill,"Allan Corduner,Ram John Holder,Alan Price,David Lonsdale,Geoffrey Hughes,Vicki Lee Taylor,Mark Jordon,Jonathan Kerrigan,Derek Fowlds,Peter Benson,William Simons,Jamie de Courcey,Ken Bones,Timothy Carlton,David Woodcock",,In the Bleak Midwinter,7.6
Mathieu Kassovitz,"Vincent Cassel,Hubert Kound,Sad Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Hlose Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benot Magimel,Mdard Niang,Arash Mansour",1995,La Haine,8.1
Nick Broomfield,"Nick Broomfield,Madam Alex,Corinne Bohrer,Mike Brambles,Cookie,Elisa Fleiss,Heidi Fleiss,Jason Fleiss,Jesse Fleiss,Kim Fleiss,Paul Fleiss,Shannon Fleiss,Gabby,Daryl Gates,Ron Jeremy",1995,Heidi Fleiss: Hollywood Madam,6.6
Wes Anderson,"Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler,Haley Miller,Robert Musgrave,Andrew Wilson,Brian Tenenbaum,Jenni Tooley,Temple Nash,Dipak Pallana,Darryl Cox,Stephen Dignan,Lumi Cavazos,Julie Mayfield",1996,Bottle Rocket,7.1
Harold Becker,"Al Pacino,John Cusack,Bridget Fonda,Danny Aiello,Martin Landau,David Paymer,Anthony Franciosa,Richard Schiff,Lindsay Duncan,Nestor Serrano,Mel Winkler,Lauren Luna Vlez,Chloe Morris,Ian Quinlan,Roberta Peters",1996,City Hall,6.2
Dennis Dugan,"Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay,Allen Covert,Robert Smigel,Bob Barker,Richard Kiel,Dennis Dugan,Joe Flaherty,Lee Trevino,Kevin Nealon,Verne Lundquist,Jared Van Snellenberg,Ken Camroux",1996,Happy Gilmore,7
